isin_prefix,company_name,nsdl_issuer,match_method,score
INE002A,Reliance Industries Limited,RELIANCE INDUSTRIES LIMITED,exact,100.0
INE002L,SJVN Limited,SJVN LIMITED,exact,100.0
INE002Z,Welspun Aunta-Simaria Project Private Limited,WELSPUN AUNTA-SIMARIA PROJECT PRIVATE LIMITED,exact,100.0
INE004H,Sri Chamundeswari Sugars Limited,SRI CHAMUNDESWARI SUGARS LIMITED,exact,100.0
INE004T,Vena Energy Fatanpur Power Private Limited,VENA ENERGY FATANPUR POWER PRIVATE LIMITED,exact,100.0
INE006S,Cybercity Builders & Developers Private Limited,CYBERCITY BUILDERS AND DEVELOPERS PVT LIMITED,exact,100.0
INE007N,Fedbank Financial Services Limited,FEDBANK FINANCIAL SERVICES LIMITED,exact,100.0
INE008A,IDBI Bank Limited,IDBI BANK LIMITED,exact,100.0
INE009J,Mahan Energen Limited,MAHAN ENERGEN LIMITED,exact,100.0
INE00GO,Leap India Limited (Formerly Leap India Private Limited),LEAP INDIA LIMITED,exact,100.0
INE00HO,Muthoot Money Limited,MUTHOOT MONEY LTD,exact,100.0
INE00HY,Rohan Landscape Private Limited,ROHAN LANDSCAPE PRIVATE LIMITED,exact,100.0
INE00IP,Munjal Hospitality Private Limited,MUNJAL HOSPITALITY PRIVATE LIMITED,exact,100.0
INE00OV,Acme Sidlaghatta Solar Energy Private Limited,ACME SIDLAGHATTA SOLAR ENERGY PRIVATE LIMITED,exact,100.0
INE00Q5,Avaada Solar Energy Private Limited,AVAADA SOLAR ENERGY PRIVATE LIMITED,exact,100.0
INE00QR,AMPSolar Projects Private Limited,AMPSOLAR PROJECTS PRIVATE LIMITED,exact,100.0
INE00QS,Indore Municipal Corporation,INDORE MUNICIPAL CORPORATION,exact,100.0
INE00RH,Solairepro Urja Private Limited,SOLAIREPRO URJA PRIVATE LIMITED,exact,100.0
INE00S4,Fourth Partner Energy Private Limited,FOURTH PARTNER ENERGY PRIVATE LIMITED,exact,100.0
INE00UW,Chartered Speed Limited,CHARTERED SPEED LIMITED,exact,100.0
INE00V2,John Deere Financial India Private Limited,JOHN DEERE FINANCIAL INDIA PRIVATE LIMITED,exact,100.0
INE00VD,Infinity Fincorp Solutions Private Limited,INFINITY FINCORP SOLUTIONS PRIVATE LIMITED,exact,100.0
INE00WL,Ampin Energy Transition Private Limited (Formerly known as Amp Energy India Private Limited),AMPIN ENERGY TRANSITION PRIVATE LIMITED,exact,100.0
INE00WQ,GENTARI RENEWABLES FINNSURYA ENERGY PRIVATE LIMITED (formerly Fortum FinnSurya Energy Private Limited),GENTARI RENEWABLES FINNSURYA ENERGY PRIVATE LIMITED,exact,100.0
INE00XE,Muthoot Vehicle and Asset Finance Limited,MUTHOOT VEHICLE & ASSET FINANCE LIMITED,exact,100.0
INE00XU,Kushtagi Solar Power Private Limited,KUSHTAGI SOLAR POWER PRIVATE LIMITED,exact,100.0
INE00ZK,Khairatunda Barwa Adda Road Limited,KHAIRATUNDA BARWA ADDA ROAD LIMITED,exact,100.0
INE00ZM,Ankleshwar Manubar Expressway Private Limited,ANKLESHWAR MANUBAR EXPRESSWAY PRIVATE LIMITED,exact,100.0
INE010A,Prism Johnson Limited,PRISM JOHNSON LIMITED,exact,100.0
INE012I,JM Financial Services Limited,JM FINANCIAL SERVICES LIMITED,exact,100.0
INE012X,Indran Logistics Park Private Limited,INDRAN LOGISTICS PARK PRIVATE LIMITED,exact,100.0
INE013P,OneSource Specialty Pharma Limited,ONESOURCE SPECIALTY PHARMA LIMITED,exact,100.0
INE013U,Globe Fincap Limited,GLOBE FINCAP LIMITED,exact,100.0
INE015L,Edelweiss Asset Reconstruction Company Limited,EDELWEISS ASSET RECONSTRUCTION CO. LTD,exact,100.0
INE016A,Dabur India Limited,DABUR INDIA LIMITED,exact,100.0
INE016P,Vistaar Financial Services Pvt Ltd,VISTAAR FINANCIAL SERVICES PRIVATE LIMITED,exact,100.0
INE017A,The Great Eastern Shipping Company Limited,THE GREAT EASTERN SHIPPING COMPANY LIMITED,exact,100.0
INE018A,Larsen & Toubro Limited,LARSEN AND TOUBRO LIMITED,exact,100.0
INE018E,SBI Cards and Payment Services Limited,SBI CARDS AND PAYMENT SERVICES LIMITED,exact,100.0
INE018P,Ujjawala Power Private Limited,UJJAWALA POWER PRIVATE LIMITED,exact,100.0
INE018V,Vena Energy Solar India Power Resources Private Limited,VENA ENERGY SOLAR INDIA POWER RESOURCES PRIVATE LIMITED,exact,100.0
