company_name,agency,rating,grade,outlook,rating_date
.Haryana City Gas Distribution (Bhiwadi) Limited,ICRA,"[ICRA]BBB+ Rating Watch with Negative Implications, --",8,Watch,2026-03-30T00:00:00+05:30
121 Finance Private Limited,CRISIL,,,,
134 Infra LLP,India Ratings,B,15,Negative(ISSUER NOT COOPERATING),
20 Microns Limited,CRISIL,Crisil A,6,Stable,
20 Microns Limited,ICRA,[ICRA]A (Stable),6,Stable,2025-10-15
20 Microns Nano Minerals Limited,CRISIL,Crisil A,6,Stable,
20 Microns Nano Minerals Limited,ICRA,[ICRA]A (Stable),6,Stable,2025-10-15
2023 PL Gwen,India Ratings,WD,,,
2023 PL Harper,India Ratings,WD,,,
2023 PL Harvey,India Ratings,WD,,,
2023 PL Iris,India Ratings,WD,,,
2023 PL Isac,India Ratings,WD,,,
2023 PL Kane,India Ratings,WD,,,
2023 PL Lucas,India Ratings,WD,,,
2024 PL Carlos,India Ratings,WD,,,
2024 PL Damian,India Ratings,A+,5,Stable,
2024 PL Dan,India Ratings,AA,3,Stable,
2024 PL Darwin,India Ratings,WD,,,
2024 PL David,India Ratings,WD,,,
2024 PL Diana,India Ratings,WD,,,
2024 PL Garret,India Ratings,AA,3,Stable,
2024 PL Gemma,India Ratings,WD,,,
2024 PL Gerard,India Ratings,AA,3,Stable,
2024 PL Glen,India Ratings,AA,3,Stable,
2024 PL Grace,India Ratings,WD,,,
2024 PL Groot,India Ratings,AA,3,Stable,
2024 PL Iceland,India Ratings,AA-,4,Stable,
2024 PL Idris,India Ratings,AAA,1,Stable,
2024 PL Indigo,India Ratings,AA-,4,Stable,
2024 PL Jason – First Scheme,India Ratings,WD,,,
2024 PL Jason – Second Scheme,India Ratings,WD,,,
2024 PL Kingsley,India Ratings,WD,,,
2024 PL Landon,India Ratings,AA,3,Stable,
2024 PL Logan,India Ratings,AA,3,Stable,
2025 09 Heisenberg,India Ratings,A,6,Stable,
2025 11 Freud,India Ratings,A,6,Stable,
2025 MFI Gramsci,CRISIL,,,,
2025 MFI Hormuz,CRISIL,,,,
2025 MFI JEKYLL,India Ratings,BBB-,10,Stable,
2025 MFI LEAFEON,India Ratings,BBB-,10,Stable,
2025 MFI Locarno,CRISIL,,,,
2025 PL Frank,India Ratings,AA,3,Stable,
2025 PL Galaxy,India Ratings,AA,3,Stable,
